Product Name,Brand,Category Type,MRP (Maximum Retail Price),Discounted Price / Sale Price,Rating,Number of Reviews,Product URL
"Women Fit and Flare Black, Brown Midi/Calf Length Dress",Sheetal,Midi,1349,383,3.8,3,https://www.flipkart.com/sheetal-associates-women-fit-flare-black-brown-midi-calf-length-dress/p/itm2bf4ffbf7784f
Women Fit and Flare Multicolor Midi/Calf Length Dress,Tokyo Talkies,Midi,2649,869,4.7,0,https://www.flipkart.com/tokyo-talkies-women-fit-flare-multicolor-midi-calf-length-dress/p/itm994c1e578c58e
Women Fit and Flare Green Midi/Calf Length Dress,Drape And Dazzle,Midi,3599,857,4.2,33,https://www.flipkart.com/drape-dazzle-women-fit-flare-green-midi-calf-length-dress/p/itm61050f29b7596
Women A-line Black Above Knee/Mid Thigh Length Dress,Aahwan,A-line,1999,476,4,589,https://www.flipkart.com/aahwan-women-a-line-black-above-knee-mid-thigh-length-dress/p/itm83b84bcc74229
Women Fit and Flare Purple Midi/Calf Length Dress,Sheetal,Midi,1349,395,4.2,3,https://www.flipkart.com/sheetal-associates-women-fit-flare-purple-midi-calf-length-dress/p/itm46eb6ee58be2f
"Women Fit and Flare Dark Green, Green, Brown Midi/Calf Length Dress",Krishna,Midi,999,349,4.2,5,https://www.flipkart.com/krishna-enterprises-women-fit-flare-dark-green-brown-midi-calf-length-dress/p/itmb7d515a2bee2c
Women Fit and Flare Maroon Knee Length Dress,Ng,Fit and Flare,1299,414,4.1,6,https://www.flipkart.com/ng-fashion-women-fit-flare-maroon-knee-length-dress/p/itm920f858d1be7e
Women Fit and Flare Black Below Knee Dress,Jash,Fit and Flare,1999,398,3.7,0,https://www.flipkart.com/zwerlon-women-a-line-dark-blue-midi-calf-length-dress/p/itm9a8d2e6b1783b
Women Gown Multicolor Midi/Calf Length Dress,Tton Mulmul,Midi,1999,439,4,89,https://www.flipkart.com/cotton-mulmul-store-women-gown-multicolor-midi-calf-length-dress/p/itm762f4b15bd67f
Women Gown Black Maxi/Full Length Dress,Fashion wear,Maxi,2499,699,3.2,0,https://www.flipkart.com/fashion2wear-women-gown-black-maxi-full-length-dress/p/itmac2b46a7bf7f1
Women Fit and Flare Multicolor Maxi/Full Length Dress,Daevish,Maxi,1999,397,4.2,909,https://www.flipkart.com/daevish-women-fit-flare-multicolor-maxi-full-length-dress/p/itm26dc4da5545aa
Women Fit and Flare Purple Midi/Calf Length Dress,Kirav Ventures,Midi,1209,339,3.6,8,https://www.flipkart.com/kirav-ventures-women-fit-flare-multicolor-midi-calf-length-dress/p/itmb036d9c6136e0
Women Fit and Flare White Midi/Calf Length Dress,Aask,Midi,2499,658,3.9,150,https://www.flipkart.com/aask-women-fit-flare-white-midi-calf-length-dress/p/itmc7e526e94a290
Women Fit and Flare Multicolor Midi/Calf Length Dress,Krishna,Midi,999,355,4,26,https://www.flipkart.com/krishna-enterprises-women-fit-flare-multicolor-midi-calf-length-dress/p/itm8913632473610
Women Fit and Flare Black Below Knee Dress,Manojava,Fit and Flare,1899,498,4,279,https://www.flipkart.com/manojava-women-fit-flare-black-below-knee-dress/p/itmd38506b6aa0a7
"Women Fit and Flare Blue, White Midi/Calf Length Dress",Honky Tonky,Midi,1999,350,4.2,214,https://www.flipkart.com/honky-tonky-women-fit-flare-blue-white-midi-calf-length-dress/p/itm35311c6399c11
Women Fit and Flare Maroon Maxi/Full Length Dress,Aayu,Maxi,1599,498,4.2,1995,https://www.flipkart.com/aayu-women-fit-flare-maroon-maxi-full-length-dress/p/itm7c924068b7cdb
Women Fit and Flare Blue Midi/Calf Length Dress,Dipani,Midi,1999,1291,0,0,https://www.flipkart.com/dipani-women-fit-flare-blue-midi-calf-length-dress/p/itm0aa17ae222acc
"Women A-line Grey, Black Midi/Calf Length Dress",Fashion wear,Midi,999,460,3.9,2471,https://www.flipkart.com/fashion2wear-women-a-line-grey-black-midi-calf-length-dress/p/itm4f7d1e8697bc2
Women A-line Maroon Below Knee Dress,Gazla Fashion,A-line,1499,392,3.9,9,https://www.flipkart.com/gazla-fashion-women-a-line-maroon-below-knee-dress/p/itma219d9ec6c0f0
Women Gown White Midi/Calf Length Dress,Pant N Lites,Midi,1999,697,3.9,37,https://www.flipkart.com/pant-n-lites-women-gown-white-midi-calf-length-dress/p/itm32176867b764d
"Women Fit and Flare Light Blue, White Midi/Calf Length Dress",Fashion wear,Midi,1499,460,4,314,https://www.flipkart.com/fashion2wear-women-fit-flare-light-blue-white-midi-calf-length-dress/p/itmc530b3163be2a
Women A-line Purple Below Knee Dress,Gazla Fashion,A-line,1499,392,3.9,9,https://www.flipkart.com/gazla-fashion-women-a-line-purple-below-knee-dress/p/itm048f2c3856d04
Women Bodycon Yellow Maxi/Full Length Dress,Tandul,Maxi,1499,489,0,0,https://www.flipkart.com/tandul-women-bodycon-yellow-maxi-full-length-dress/p/itm4ce9e96ac43d5
Women Bodycon Multicolor Midi/Calf Length Dress,Purvaja,Midi,3299,489,4.1,233,https://www.flipkart.com/purvaja-women-bodycon-multicolor-midi-calf-length-dress/p/itmfd37ebdfe33d3
"Women A-line White, Light Blue, Grey Midi/Calf Length Dress",Aayu,Midi,2599,497,4.1,432,https://www.flipkart.com/aayu-women-a-line-white-light-blue-grey-midi-calf-length-dress/p/itmc89ad3d634412
Women A-line Pink Midi/Calf Length Dress,Fashion wear,Midi,2499,444,3.7,18,https://www.flipkart.com/fashion2wear-women-a-line-pink-midi-calf-length-dress/p/itmeb377a9de207f
"Women Fit and Flare Maroon, White, Dark Green Maxi/Full Length Dress",Fashion wear,Maxi,1499,480,3.9,297,https://www.flipkart.com/fashion2wear-women-fit-flare-maroon-white-dark-green-maxi-full-length-dress/p/itm683b72760a33b
Women Fit and Flare Brown Midi/Calf Length Dress,Sheetal,Midi,1999,351,4.3,2686,https://www.flipkart.com/sheetal-associates-women-fit-flare-brown-midi-calf-length-dress/p/itm49cee84ca211a
Women A-line Black Ankle Length Dress,Evergreen Trend,A-line,1600,281,3.8,366,https://www.flipkart.com/evergreen-trend-women-a-line-black-ankle-length-dress/p/itm2e5eb41e5440e
Women Skater Multicolor Above Knee/Mid Thigh Length Dress,Bhawana print,Unknown,1199,292,4,4575,https://www.flipkart.com/bhawanaprint-women-skater-multicolor-above-knee-mid-thigh-length-dress/p/itm644b0095f686d
Women Wrap Pink Above Knee/Mid Thigh Length Dress,Moda Rapido,Unknown,2199,527,3.5,0,https://www.flipkart.com/moda-rapido-women-wrap-pink-above-knee-mid-thigh-length-dress/p/itm5c59ed29287b1
Women Fit and Flare Blue Maxi/Full Length Dress,Aayu,Maxi,1599,498,4.2,1995,https://www.flipkart.com/aayu-women-fit-flare-blue-maxi-full-length-dress/p/itm56bebad9a635c
