Product Name,Brand,Category Type,MRP (Maximum Retail Price),Discounted Price / Sale Price,Rating,Number of Reviews,Product URL
Women Ribbed Green Midi/Calf Length Dress,Tokyo Talkies,Midi,1449,599,4.3,23,https://www.flipkart.com/tokyo-talkies-women-ribbed-green-midi-calf-length-dress/p/itm290642a8b194d
Women A-line Maroon Below Knee Dress,Tokyo Talkies,A-line,1449,382,4.3,247,https://www.flipkart.com/tokyo-talkies-women-a-line-maroon-below-knee-dress/p/itm752726565bd09
Women Gown Brown Maxi/Full Length Dress,Miss Chase,Maxi,2899,979,4.3,1841,https://www.flipkart.com/miss-chase-women-gown-brown-maxi-full-length-dress/p/itm85ad6422039ef
Women Pleated Green Maxi/Full Length Dress,Miss Chase,Maxi,4495,899,4.4,4,https://www.flipkart.com/miss-chase-women-pleated-green-maxi-full-length-dress/p/itm8ec69b535d02b
Women Maxi Brown Midi/Calf Length Dress,Tokyo Talkies,Maxi,1549,599,3.9,495,https://www.flipkart.com/tokyo-talkies-women-maxi-brown-midi-calf-length-dress/p/itmfdbg59k7hauwy
Women Fit and Flare Red Above Knee/Mid Thigh Length Dress,Dmprsn,Fit and Flare,1599,425,3.6,1,https://www.flipkart.com/dmprsn-women-fit-flare-red-above-knee-mid-thigh-length-dress/p/itm19d227b291f6a
"Women A-line Yellow, Pink, Green Maxi/Full Length Dress",Aayu,Maxi,2599,498,4.1,563,https://www.flipkart.com/aayu-women-a-line-yellow-pink-green-maxi-full-length-dress/p/itme869df0b4f2c0
Women Wrap White Midi/Calf Length Dress,Plus,Midi,2699,675,4.2,22,https://www.flipkart.com/pluss-women-wrap-white-midi-calf-length-dress/p/itm1539dcc36c245
Women Shirt Multicolor Midi/Calf Length Dress,Aayu,Midi,2999,498,4,71,https://www.flipkart.com/aayu-women-shirt-multicolor-midi-calf-length-dress/p/itmc9ce2bbecbc88
Women Maxi Dark Green Full Length Dress,Tokyo Talkies,Maxi,2949,566,4.1,10,https://www.flipkart.com/tokyo-talkies-women-maxi-dark-green-full-length-dress/p/itm54b380d9b4188
Women A-line Multicolor Midi/Calf Length Dress,Dviera Trendz,Midi,1899,375,4.1,740,https://www.flipkart.com/lepzep-women-a-line-maroon-midi-calf-length-dress/p/itmb19eb6bb91091
Women A-line Yellow Midi/Calf Length Dress,Aayu,Midi,1499,398,4,2310,https://www.flipkart.com/aayu-women-a-line-yellow-midi-calf-length-dress/p/itmb4d7de3ecaec2
Women Ribbed Black Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,999,318,4.1,48,https://www.flipkart.com/tokyo-talkies-women-ribbed-black-above-knee-mid-thigh-length-dress/p/itm143527cd2bf5a
Women A-line Pink Midi/Calf Length Dress,Harpa,Midi,2199,699,4.2,296,https://www.flipkart.com/harpa-women-a-line-pink-midi-calf-length-dress/p/itmb000af07e42d9
Women Maxi Brown Full Length Dress,Nayo,Maxi,2499,949,3.9,39,https://www.flipkart.com/nayo-women-maxi-brown-full-length-dress/p/itm06ab1f2d111df
Women Maxi Pink Midi/Calf Length Dress,Honky Tonky,Maxi,1999,350,4.1,909,https://www.flipkart.com/honky-tonky-women-maxi-pink-midi-calf-length-dress/p/itm5be2115a7de42
Women Fit and Flare Green Maxi/Full Length Dress,Shakshi,Maxi,2199,414,4.2,606,https://www.flipkart.com/shakshi-creations-women-fit-flare-green-maxi-full-length-dress/p/itm2a8a40abeb532
Women Fit and Flare Multicolor Below Knee Dress,Harpa,Fit and Flare,1699,856,4.1,2999,https://www.flipkart.com/harpa-women-fit-flare-multicolor-below-knee-dress/p/itmf3vcqydgyzgzr
Women Skater Blue Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1999,513,4.2,20,https://www.flipkart.com/tokyo-talkies-women-skater-blue-above-knee-mid-thigh-length-dress/p/itm353af4508a6fd
Women A-line Maroon Knee Length Dress,Tokyo Talkies,A-line,1849,689,3.9,112,https://www.flipkart.com/tokyo-talkies-women-a-line-maroon-knee-length-dress/p/itm8529ee5185a19
Women Ethnic Dress Black Ankle Length Dress,Purshottam Wala,Unknown,1799,389,4.2,2945,https://www.flipkart.com/daevish-women-a-line-multicolor-maxi-full-length-dress/p/itmd1036842af9e2
Women Gown Dark Blue Maxi/Full Length Dress,Street,Maxi,3999,1200,3.7,59,https://www.flipkart.com/street9-women-gown-dark-blue-maxi-full-length-dress/p/itmfdmhjp7qpf9hm
Women Fit and Flare Green Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Fit and Flare,1849,524,4.2,57,https://www.flipkart.com/tokyo-talkies-women-fit-flare-green-above-knee-mid-thigh-length-dress/p/itmb9397bc576392
Women Skater Multicolor Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1249,410,4.1,111,https://www.flipkart.com/tokyo-talkies-women-skater-multicolor-above-knee-mid-thigh-length-dress/p/itmcb76ce3caa41b
Women Maxi Beige Full Length Dress,Rare,Maxi,2099,693,3.9,86,https://www.flipkart.com/rare-women-maxi-beige-full-length-dress/p/itmf3vcwcmdcgfnz
"Women A-line Black, Grey Midi/Calf Length Dress",Fashion wear,Midi,1499,480,3.8,14,https://www.flipkart.com/fashion2wear-women-a-line-black-grey-midi-calf-length-dress/p/itmbbb293cc6a3a2
Women Maxi Purple Full Length Dress,Harpa,Maxi,2399,940,4.2,403,https://www.flipkart.com/harpa-women-maxi-purple-full-length-dress/p/itm5b48341e2a73c
Women Skater Blue Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1599,431,4.1,17,https://www.flipkart.com/tokyo-talkies-women-skater-blue-above-knee-mid-thigh-length-dress/p/itmaec633c177a1d
Women Gown Black Ankle Length Dress,Mialo Fashion,Gown,1999,408,3.8,0,https://www.flipkart.com/mialo-fashion-women-gown-black-ankle-length-dress/p/itm6be877cb2b514
Women Maxi Multicolor Full Length Dress,Tokyo Talkies,Maxi,1399,499,4.2,501,https://www.flipkart.com/tokyo-talkies-women-maxi-multicolor-full-length-dress/p/itm5325a55fd41cb
Women Wrap White Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,2599,819,4.1,8,https://www.flipkart.com/tokyo-talkies-women-wrap-white-above-knee-mid-thigh-length-dress/p/itm0c20e7b951bba
Women Fit and Flare Multicolor Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Fit and Flare,1599,599,3.7,11,https://www.flipkart.com/tokyo-talkies-women-fit-flare-multicolor-above-knee-mid-thigh-length-dress/p/itm51f28d8fc7dba
Women Skater Multicolor Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,2149,611,4,34,https://www.flipkart.com/tokyo-talkies-women-skater-multicolor-above-knee-mid-thigh-length-dress/p/itm093e5c42b961f
Women Maxi Yellow Full Length Dress,Tokyo Talkies,Maxi,2149,657,4.2,86,https://www.flipkart.com/tokyo-talkies-women-maxi-yellow-full-length-dress/p/itm21b42a39acf8e
Women A-line White Midi/Calf Length Dress,Tulsattva,Midi,1990,849,4.2,10,https://www.flipkart.com/tulsattva-women-a-line-white-midi-calf-length-dress/p/itm8be90d51056f7
Women Tiered Multicolor Midi/Calf Length Dress,Juniper,Midi,2098,899,4,11,https://www.flipkart.com/juniper-women-tiered-multicolor-midi-calf-length-dress/p/itm1f20a848d582f
Women Shirt Multicolor Midi/Calf Length Dress,Aayu,Midi,2599,498,4,71,https://www.flipkart.com/aayu-women-shirt-multicolor-midi-calf-length-dress/p/itm63df53b361b73
Women Fit and Flare Light Blue Knee Length Dress,Tokyo Talkies,Fit and Flare,1549,410,4.2,168,https://www.flipkart.com/tokyo-talkies-women-a-line-light-blue-knee-length-dress/p/itmf3vd3bsu7yj3r
Women Fit and Flare Green Maxi/Full Length Dress,Fashion wear,Maxi,2499,480,4.3,3,https://www.flipkart.com/fashion2wear-women-fit-flare-green-maxi-full-length-dress/p/itm36a643d36afc0
Women Ethnic Dress Black Above Knee/Mid Thigh Length Dress,Nk Design,Unknown,999,373,4.1,8,https://www.flipkart.com/nk-design-women-ethnic-dress-black-above-knee-mid-thigh-length/p/itm7229d429af2cf
"Women Fit and Flare Beige, Dark Green Below Knee Dress",Fashion wear,Fit and Flare,1999,495,3.6,74,https://www.flipkart.com/fashion2wear-women-fit-flare-beige-dark-green-below-knee-dress/p/itm5b6dd265e0fcb
Women A-line Orange Midi/Calf Length Dress,Tokyo Talkies,Midi,1449,499,4,71,https://www.flipkart.com/tokyo-talkies-women-a-line-orange-midi-calf-length-dress/p/itm35dd5a7396ff8
Women Ethnic Dress Blue Maxi/Full Length Dress,Bhawana print,Maxi,1299,292,4.2,98,https://www.flipkart.com/bhawanaprint-women-ethnic-dress-blue-maxi-full-length/p/itmc7da3f84988db
Women Fit and Flare Blue Knee Length Dress,Stylum,Fit and Flare,2199,749,4.1,2,https://www.flipkart.com/stylum-women-fit-flare-blue-knee-length-dress/p/itm19bc156848d34
Women Fit and Flare Blue Maxi/Full Length Dress,Sheetal,Maxi,1999,413,4.1,799,https://www.flipkart.com/sheetal-associates-women-fit-flare-blue-maxi-full-length-dress/p/itm0139b68b969e5
"Women Fit and Flare Dark Blue, Pink Midi/Calf Length Dress",Leetos,Midi,1400,398,3.7,85,https://www.flipkart.com/leetos-women-fit-flare-dark-blue-pink-midi-calf-length-dress/p/itmfef37824ca150
Women Ribbed Maroon Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1849,524,4,72,https://www.flipkart.com/tokyo-talkies-women-ribbed-maroon-above-knee-mid-thigh-length-dress/p/itm0da14f4ad4d66
Women Fit and Flare Blue Midi/Calf Length Dress,Aayu,Midi,2599,494,4.1,308,https://www.flipkart.com/aayu-women-fit-flare-blue-midi-calf-length-dress/p/itm949aecef67487
Women Skater Multicolor Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,2149,699,3.9,107,https://www.flipkart.com/tokyo-talkies-women-skater-multicolor-above-knee-mid-thigh-length-dress/p/itma4acb8f60b8c4
Women Pinafore Blue Midi/Calf Length Dress,Daisy,Midi,1950,499,3.9,28,https://www.flipkart.com/codaisy-women-pinafore-blue-midi-calf-length-dress/p/itm9eb5ac5bed1cd
Women Bodycon Maroon Ankle Length Dress,Ziva Fashion,Bodycon,2299,498,3.9,12,https://www.flipkart.com/ziva-fashion-women-bodycon-maroon-midi-calf-length-dress/p/itm1c4261f88883e
Women Fit and Flare Purple Maxi/Full Length Dress,Aayu,Maxi,1599,498,4.1,108,https://www.flipkart.com/aayu-women-fit-flare-purple-maxi-full-length-dress/p/itm3ae61a46f254c
Women A-line Blue Above Knee/Mid Thigh Length Dress,Sassafras,A-line,2199,813,4.6,0,https://www.flipkart.com/sassafras-women-a-line-blue-above-knee-mid-thigh-length-dress/p/itm3b98a3d3d1912
Women A-line Multicolor Midi/Calf Length Dress,Harpa,Midi,1999,699,4.1,1299,https://www.flipkart.com/harpa-women-a-line-multicolor-midi-calf-length-dress/p/itm682fa92499da0
Women Fit and Flare Multicolor Maxi/Full Length Dress,Zopdi,Maxi,1999,370,4.1,503,https://www.flipkart.com/zopdi-women-fit-flare-multicolor-maxi-full-length-dress/p/itm47c9d10285db5
Women Maxi Blue Full Length Dress,Tokyo Talkies,Maxi,2549,753,4,55,https://www.flipkart.com/tokyo-talkies-women-maxi-blue-full-length-dress/p/itm377c4eada73ea
Women Fit and Flare Black Below Knee Dress,Sassafras,Fit and Flare,1599,639,4.2,955,https://www.flipkart.com/sassafras-women-fit-flare-black-below-knee-dress/p/itm331ee769a2dfd
Women Fit and Flare Black Maxi/Full Length Dress,Fashion wear,Maxi,1499,480,3.9,297,https://www.flipkart.com/fashion2wear-women-fit-flare-black-maxi-full-length-dress/p/itm6a03e655aff99
"Women Maxi Pink, White Full Length Dress",Emeros,Maxi,2199,364,3.7,250,https://www.flipkart.com/emeros-women-maxi-pink-white-full-length-dress/p/itm88a076838f11c
"Women A-line Light Blue, Pink, Green Maxi/Full Length Dress",Aayu,Maxi,2599,498,4.1,563,https://www.flipkart.com/aayu-women-a-line-light-blue-pink-green-maxi-full-length-dress/p/itmfc1380927d7bc
Women Fit and Flare Green Midi/Calf Length Dress,House of common,Midi,1999,479,3.9,5,https://www.flipkart.com/jollity-women-gown-light-blue-midi-calf-length-dress/p/itm8ee7882561566
Women A-line Gold Midi/Calf Length Dress,Janasya,Midi,2599,799,4.1,128,https://www.flipkart.com/janasya-women-a-line-gold-midi-calf-length-dress/p/itm21df2db25b9d4
Women Fit and Flare Red Above Knee/Mid Thigh Length Dress,Tandul,Fit and Flare,1499,489,0,0,https://www.flipkart.com/tandul-women-fit-flare-pink-above-knee-mid-thigh-length-dress/p/itmbd573d3956d9d
Women Shirt Red Above Knee/Mid Thigh Length Dress,Sassafras,Unknown,1799,665,3.8,34,https://www.flipkart.com/sassafras-women-shirt-red-above-knee-mid-thigh-length-dress/p/itm376621fc41e7a
Women A-line Multicolor Midi/Calf Length Dress,Selvia,Midi,3350,769,4,25,https://www.flipkart.com/selvia-women-a-line-multicolor-midi-calf-length-dress/p/itm36c217ed705bb
Women Blouson Blue Knee Length Dress,Tokyo Talkies,Unknown,2049,554,4.2,40,https://www.flipkart.com/tokyo-talkies-women-blouson-blue-knee-length-dress/p/itmb8f502aec2ae8
Women Gown Pink Ankle Length Dress,Supbir,Gown,1999,459,4,46,https://www.flipkart.com/supbir-women-gown-pink-ankle-length-dress/p/itme40cfe00ffb6d
Women A-line White Knee Length Dress,Fashion wear,A-line,1999,480,3.7,53,https://www.flipkart.com/fashion2wear-women-a-line-white-knee-length-dress/p/itmc32cf5077ebb6
Women Fit and Flare Dark Blue Midi/Calf Length Dress,Glomee,Midi,2425,439,3.8,11,https://www.flipkart.com/glomee-women-fit-flare-dark-blue-midi-calf-length-dress/p/itm1d1488d72c3e8
Women Ribbed Pink Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,999,317,4.1,13,https://www.flipkart.com/tokyo-talkies-women-ribbed-pink-above-knee-mid-thigh-length-dress/p/itmb707ca1c5124a
Women Fit and Flare Purple Midi/Calf Length Dress,Vymo,Midi,2599,650,4.2,207,https://www.flipkart.com/vymo-women-fit-flare-purple-midi-calf-length-dress/p/itmf3ee9a886f172
"Women Sheath White, Black Midi/Calf Length Dress",Sassafras,Midi,1699,679,4.3,96,https://www.flipkart.com/sassafras-women-sheath-white-black-midi-calf-length-dress/p/itmfgxwfyvuzd79d
Women Maxi Light Green Full Length Dress,U&F,Maxi,2099,749,3.7,121,https://www.flipkart.com/u-f-women-maxi-light-green-full-length-dress/p/itmdb93312a6b759
Women Fit and Flare Maroon Midi/Calf Length Dress,Sheffali,Midi,999,436,4,78,https://www.flipkart.com/sheffali-creation-women-fit-flare-maroon-midi-calf-length-dress/p/itmdd8be84de8f60
Women Gown Maroon Maxi/Full Length Dress,Jahu Mart,Maxi,1999,355,4,232,https://www.flipkart.com/zopdi-women-fit-flare-maroon-maxi-full-length-dress/p/itm4f7d227d511b9
Women Skater Black Above Knee/Mid Thigh Length Dress,Ketch,Unknown,1849,370,4.3,85,https://www.flipkart.com/ketch-women-skater-black-above-knee-mid-thigh-length-dress/p/itm49433a30a64ef
"Women A-line Blue, White Knee Length Dress",Tokyo Talkies,A-line,1299,458,3.9,116,https://www.flipkart.com/tokyo-talkies-women-a-line-blue-white-knee-length-dress/p/itme9cdbb2bfa962
Women Maxi Purple Full Length Dress,Wazix Clothing,Maxi,2199,713,3.8,31,https://www.flipkart.com/wazix-clothing-women-maxi-purple-full-length-dress/p/itm113ef99325f02
Women Bodycon Black Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Bodycon,1299,324,4.2,47,https://www.flipkart.com/tokyo-talkies-women-bodycon-black-above-knee-mid-thigh-length-dress/p/itmbf6444b7ebf10
Women Maxi Blue Full Length Dress,Aayu,Maxi,2599,494,4.1,897,https://www.flipkart.com/aayu-women-maxi-blue-full-length-dress/p/itm62ec29b3d19d0
Women Fit and Flare Black Midi/Calf Length Dress,Aayu,Midi,2199,494,4.1,323,https://www.flipkart.com/aayu-women-fit-flare-black-midi-calf-length-dress/p/itm7803bf60d2062
Women Ruffled Black Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1799,649,4.1,37,https://www.flipkart.com/tokyo-talkies-women-ruffled-black-above-knee-mid-thigh-length-dress/p/itmebe3d8df9b79e
Women Fit and Flare Purple Midi/Calf Length Dress,Aask,Midi,2499,689,3.8,73,https://www.flipkart.com/aask-women-fit-flare-purple-midi-calf-length-dress/p/itmeb9a8701b4e77
Women Maxi Orange Full Length Dress,Dressberry,Maxi,2299,528,4.4,1,https://www.flipkart.com/dressberry-women-maxi-pink-full-length-dress/p/itmf1c4190aea130
Women Maxi Maroon Full Length Dress,Athena,Maxi,2999,1109,4,34,https://www.flipkart.com/athena-women-maxi-maroon-full-length-dress/p/itm4d436a22141bf
"Women Layered Dark Blue, Blue Midi/Calf Length Dress",Tokyo Talkies,Midi,2399,688,4.3,33,https://www.flipkart.com/tokyo-talkies-women-layered-dark-blue-blue-midi-calf-length-dress/p/itmdf589c0e4e544
Women Maxi Black Midi/Calf Length Dress,Tokyo Talkies,Maxi,1049,349,4.3,96,https://www.flipkart.com/tokyo-talkies-women-maxi-black-midi-calf-length-dress/p/itm8b4c9a7b6612c
Women A-line Maroon Above Knee/Mid Thigh Length Dress,Instafab Plus,A-line,2999,859,3.9,9,https://www.flipkart.com/instafab-plus-women-a-line-maroon-above-knee-mid-thigh-length-dress/p/itmac8263ed0d335
Women A-line Purple Midi/Calf Length Dress,Aayu,Midi,999,497,3.9,1030,https://www.flipkart.com/aayu-women-a-line-purple-midi-calf-length-dress/p/itm3c5cac85b1b3f
Women Fit and Flare Yellow Midi/Calf Length Dress,Sheladiya,Midi,2599,386,4.1,1127,https://www.flipkart.com/sheladiya-women-fit-flare-yellow-midi-calf-length-dress/p/itm6de34d926a30d
Women Fit and Flare Multicolor Midi/Calf Length Dress,Rieka,Midi,2999,389,3.8,37,https://www.flipkart.com/rieka-women-fit-flare-multicolor-midi-calf-length-dress/p/itm9fdec2fcb92d1
Women Maxi Blue Full Length Dress,Plus,Maxi,2499,500,4.1,60,https://www.flipkart.com/pluss-women-maxi-blue-full-length-dress/p/itm64a2fca49bb5b
"Women Fit and Flare Maroon, White Midi/Calf Length Dress",Negen,Midi,1949,660,4.4,14,https://www.flipkart.com/negen-women-fit-flare-maroon-white-midi-calf-length-dress/p/itm818cce5be644c
Women Fit and Flare Pink Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Fit and Flare,1999,689,4.2,7,https://www.flipkart.com/tokyo-talkies-women-fit-flare-pink-above-knee-mid-thigh-length-dress/p/itm40221426a05ac
Women Bodycon Light Green Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Bodycon,1049,312,4.2,39,https://www.flipkart.com/tokyo-talkies-women-bodycon-light-green-above-knee-mid-thigh-length-dress/p/itm43344b5d5d2b2
Women Skater Multicolor Knee Length Dress,Tokyo Talkies,Unknown,1249,290,4.1,7,https://www.flipkart.com/tokyo-talkies-women-skater-multicolor-knee-length-dress/p/itm8b695d64e6dcb
Women A-line Multicolor Below Knee Dress,Gazla Fashion,A-line,1499,392,3.9,9,https://www.flipkart.com/gazla-fashion-women-a-line-multicolor-below-knee-dress/p/itm2b42cd07aed21
Women Fit and Flare Black Knee Length Dress,Mishti Fashion,Fit and Flare,1599,313,3.9,1,https://www.flipkart.com/mishti-fashion-women-fit-flare-black-knee-length-dress/p/itm2d6b0280a58d8
"Women A-line Black, Grey, White Below Knee Dress",Twirl Tales,A-line,1999,448,4.2,131,https://www.flipkart.com/twirl-tales-women-a-line-black-grey-white-below-knee-dress/p/itm4d93275614e4c
Women A-line Black Below Knee Dress,Street,A-line,3999,1120,4.3,14,https://www.flipkart.com/street9-women-a-line-black-below-knee-dress/p/itmc67c03afd3f55
"Women Fit and Flare Maroon, Multicolor Maxi/Full Length Dress",Sv Suveena,Maxi,1499,430,4.2,20,https://www.flipkart.com/sv-suveena-women-fit-flare-maroon-multicolor-maxi-full-length-dress/p/itmdd4b2fda86269
"Women Ethnic Dress Light Blue, Dark Blue Maxi/Full Length Dress",Nayo,Maxi,2499,879,4.1,9,https://www.flipkart.com/nayo-women-ethnic-dress-light-blue-dark-blue-maxi-full-length/p/itm58c2322177b42
Women Maxi Multicolor Full Length Dress,Jwf,Maxi,1299,347,4.5,0,https://www.flipkart.com/jwf-women-maxi-multicolor-full-length-dress/p/itme140c591f675a
Women Fit and Flare Black Midi/Calf Length Dress,Vymo,Midi,2599,650,4.2,207,https://www.flipkart.com/vymo-women-fit-flare-black-midi-calf-length-dress/p/itm435125795058e
Women Bodycon Maroon Ankle Length Dress,Miss Chase,Bodycon,2495,849,4.1,6,https://www.flipkart.com/miss-chase-women-bodycon-maroon-ankle-length-dress/p/itm3931156053480
Women A-line Purple Ankle Length Dress,Gazla Fashion,A-line,1499,234,3.9,9,https://www.flipkart.com/gazla-fashion-women-a-line-purple-ankle-length-dress/p/itmc3303551c4e4a
Women A-line Light Blue Above Knee/Mid Thigh Length Dress,Tokyo Talkies,A-line,1599,579,4.1,1,https://www.flipkart.com/tokyo-talkies-women-a-line-light-blue-above-knee-mid-thigh-length-dress/p/itm125c48a70212c
Women Fit and Flare Black Knee Length Dress,Khushi Fab,Fit and Flare,1099,239,3.7,22,https://www.flipkart.com/khushi-fab-women-fit-flare-black-knee-length-dress/p/itma0f044f230d80
Women Fit and Flare Dark Blue Maxi/Full Length Dress,Miss Chase,Maxi,3745,1499,4,4,https://www.flipkart.com/miss-chase-women-fit-flare-dark-blue-maxi-full-length-dress/p/itm6922984c59af1
Women A-line Light Green Maxi/Full Length Dress,Tokyo Talkies,Maxi,1649,474,4,142,https://www.flipkart.com/tokyo-talkies-women-a-line-light-green-maxi-full-length-dress/p/itm9538a02b6b5ff
Women Fit and Flare Blue Midi/Calf Length Dress,Janasya,Midi,2369,649,3.9,4,https://www.flipkart.com/janasya-women-fit-flare-blue-midi-calf-length-dress/p/itmc19bc7ee4ba97
Women Skater Multicolor Knee Length Dress,Tokyo Talkies,Unknown,1249,401,4.2,96,https://www.flipkart.com/tokyo-talkies-women-skater-multicolor-knee-length-dress/p/itm68720eee2a6ab
Women Layered Brown Maxi/Full Length Dress,Aayu,Maxi,3599,742,4.2,111,https://www.flipkart.com/aayu-women-layered-brown-maxi-full-length-dress/p/itm8d80a0c7aaa3f
"Women Fit and Flare Blue, Yellow Midi/Calf Length Dress",Janasya,Midi,2699,599,3.8,0,https://www.flipkart.com/janasya-women-fit-flare-blue-yellow-midi-calf-length-dress/p/itmcd229e1466978
Women A-line Black Midi/Calf Length Dress,Miss Chase,Midi,3395,849,4.5,4,https://www.flipkart.com/miss-chase-women-a-line-black-midi-calf-length-dress/p/itmef313824f640f
Women Fit and Flare Dark Green Midi/Calf Length Dress,Aask,Midi,2499,682,3.8,73,https://www.flipkart.com/aask-women-fit-flare-dark-green-midi-calf-length-dress/p/itm9dece5178bd8e
Women Fit and Flare Multicolor Maxi/Full Length Dress,Fashion wear,Maxi,999,460,3.8,934,https://www.flipkart.com/fashion2wear-women-fit-flare-multicolor-maxi-full-length-dress/p/itm5c0a22589d081
Women Fit and Flare Multicolor Maxi/Full Length Dress,Quiero,Maxi,4169,1517,4.2,3,https://www.flipkart.com/quiero-women-fit-flare-multicolor-maxi-full-length-dress/p/itm84f9c1278508b
Women Fit and Flare Maroon Knee Length Dress,Aask,Fit and Flare,1999,467,4.2,567,https://www.flipkart.com/aask-women-fit-flare-maroon-knee-length-dress/p/itmf825b09bfd982
Women Fit and Flare Green Midi/Calf Length Dress,Sheladiya,Midi,2499,386,4.1,1127,https://www.flipkart.com/sheladiya-women-fit-flare-green-midi-calf-length-dress/p/itm05859d1271a28
Women Gown Multicolor Midi/Calf Length Dress,Tton Mulmul,Midi,1999,439,4,89,https://www.flipkart.com/cotton-mulmul-store-women-gown-multicolor-midi-calf-length-dress/p/itm63fa88265c9bd
Women A-line Blue Midi/Calf Length Dress,Herway,Midi,2599,397,4.2,0,https://www.flipkart.com/herway-women-a-line-blue-midi-calf-length-dress/p/itmb682541a64767
Women Fit and Flare Multicolor Below Knee Dress,Presha,Fit and Flare,2499,479,4.1,806,https://www.flipkart.com/presha-women-fit-flare-multicolor-below-knee-dress/p/itm850da18aa6bc9
Women Two Piece Dress Multicolor Mini/Short Dress,Olandcasual,Unknown,1999,777,3.6,31,https://www.flipkart.com/coolandcasual-women-two-piece-dress-multicolor-mini-short/p/itm89c849848d915
Women Ribbed Black Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1699,570,4.5,9,https://www.flipkart.com/tokyo-talkies-women-ribbed-black-above-knee-mid-thigh-length-dress/p/itm42fe999f085db
"Women Fit and Flare Pink, Gold Ankle Length Dress",Manisukmi Fashion,Fit and Flare,1599,310,3.8,192,https://www.flipkart.com/manisukmi-fashion-women-fit-flare-pink-gold-ankle-length-dress/p/itm45a9c2b072c8c
Women Gown Blue Ankle Length Dress,Rkk Llection,Gown,999,436,3.6,12,https://www.flipkart.com/simran-collections-women-fit-flare-blue-below-knee-dress/p/itm953ea9236a9b3
Women Bodycon White Midi/Calf Length Dress,Road Rider,Midi,1699,419,0,0,https://www.flipkart.com/attire-empire-women-bodycon-white-midi-calf-length-dress/p/itmf2e52ce1d4877
Women Fit and Flare Red Below Knee Dress,Tessavegas,Fit and Flare,1799,678,4.1,72,https://www.flipkart.com/tessavegas-women-fit-flare-red-below-knee-dress/p/itm2f4c2f35d3da7
"Women Bodycon Black, Maroon, White Midi/Calf Length Dress",London Belly,Midi,1999,392,4.2,880,https://www.flipkart.com/london-belly-women-bodycon-black-maroon-white-midi-calf-length-dress/p/itmaf1b564b16cc3
Women Fit and Flare Multicolor Midi/Calf Length Dress,Plus,Midi,2799,700,4.1,25,https://www.flipkart.com/pluss-women-fit-flare-multicolor-midi-calf-length-dress/p/itmefc023ff1ec31
Women Fit and Flare Dark Blue Midi/Calf Length Dress,Aask,Midi,2499,691,3.9,150,https://www.flipkart.com/aask-women-fit-flare-dark-blue-midi-calf-length-dress/p/itm343a7fe8463ec
Women Fit and Flare Maroon Midi/Calf Length Dress,Aask,Midi,2499,689,3.8,73,https://www.flipkart.com/aask-women-fit-flare-maroon-midi-calf-length-dress/p/itm7c3aedcefa3ab
Women Fit and Flare Blue Midi/Calf Length Dress,Deklook,Midi,999,323,3.9,0,https://www.flipkart.com/deklook-women-fit-flare-blue-midi-calf-length-dress/p/itm90e62a8016377
Women Bodycon Purple Midi/Calf Length Dress,Tokyo Talkies,Midi,1599,373,4,25,https://www.flipkart.com/tokyo-talkies-women-bodycon-purple-midi-calf-length-dress/p/itmebe8e173824e2
Women Bodycon Green Midi/Calf Length Dress,Sassafras,Midi,1999,719,4.3,39,https://www.flipkart.com/sassafras-women-bodycon-green-midi-calf-length-dress/p/itm9579ea32df131
Women Fit and Flare Blue Midi/Calf Length Dress,Janasya,Midi,2786,849,4.4,28,https://www.flipkart.com/janasya-women-fit-flare-blue-midi-calf-length-dress/p/itmb55ab69f5e628
Women Fit and Flare Grey Below Knee Dress,Mialo Fashion,Fit and Flare,1899,423,4,49,https://www.flipkart.com/mialo-fashion-women-fit-flare-grey-below-knee-dress/p/itmdf136b6fd5646
Women Skater Dark Blue Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,2099,446,3.7,21,https://www.flipkart.com/tokyo-talkies-women-skater-dark-blue-above-knee-mid-thigh-length-dress/p/itmefdcf182b6be1
"Women A-line Pink, Purple Knee Length Dress",Tokyo Talkies,A-line,1749,629,3.8,18,https://www.flipkart.com/tokyo-talkies-women-a-line-pink-purple-knee-length-dress/p/itma9bdd30a60fcc
